embryo,embryo_code,id,start,end,duration,depth,parent,grandparent,parent_duration,grandparent_duration,parent_minus_grandparent,group_depth2,group_depth1
01,0,207,120,162,43,6,203,195,34,26,8,01:193,01:129
01,0,210,60,85,26,4,194,193,25,16,9,01:193,01:129
01,0,211,86,119,34,5,210,194,26,25,1,01:193,01:129
01,0,212,120,167,48,6,211,210,34,26,8,01:193,01:129
01,0,215,120,165,46,6,211,210,34,26,8,01:193,01:129
01,0,218,86,121,36,5,210,194,26,25,1,01:193,01:129
01,0,219,122,171,50,6,218,210,36,26,10,01:193,01:129
01,0,222,122,167,46,6,218,210,36,26,10,01:193,01:129
01,0,225,35,60,26,3,193,129,16,15,1,01:193,01:129
01,0,226,61,87,27,4,225,193,26,16,10,01:193,01:129
01,0,227,88,128,41,5,226,225,27,26,1,01:193,01:129
01,0,228,129,179,51,6,227,226,41,27,14,01:193,01:129
01,0,231,129,174,46,6,227,226,41,27,14,01:193,01:129
01,0,234,88,128,41,5,226,225,27,26,1,01:193,01:129
01,0,235,129,182,54,6,234,226,41,27,14,01:193,01:129
01,0,238,129,185,57,6,234,226,41,27,14,01:193,01:129
01,0,241,61,88,28,4,225,193,26,16,10,01:193,01:129
01,0,242,89,124,36,5,241,225,28,26,2,01:193,01:129
01,0,243,125,176,52,6,242,241,36,28,8,01:193,01:129
01,0,246,125,170,46,6,242,241,36,28,8,01:193,01:129
01,0,249,89,126,38,5,241,225,28,26,2,01:193,01:129
01,0,250,127,176,50,6,249,241,38,28,10,01:193,01:129
01,0,253,127,175,49,6,249,241,38,28,10,01:193,01:129
01,0,258,19,34,16,2,257,256,15,4,11,01:258,01:257
01,0,259,35,57,23,3,258,257,16,15,1,01:258,01:257
01,0,260,58,84,27,4,259,258,23,16,7,01:258,01:257
01,0,261,85,118,34,5,260,259,27,23,4,01:258,01:257
01,0,262,119,166,48,6,261,260,34,27,7,01:258,01:257
01,0,265,119,166,48,6,261,260,34,27,7,01:258,01:257
01,0,268,85,121,37,5,260,259,27,23,4,01:258,01:257
01,0,269,122,172,51,6,268,260,37,27,10,01:258,01:257
01,0,272,122,165,44,6,268,260,37,27,10,01:258,01:257
01,0,275,58,83,26,4,259,258,23,16,7,01:258,01:257
01,0,276,84,119,36,5,275,259,26,23,3,01:258,01:257
01,0,277,120,164,45,6,276,275,36,26,10,01:258,01:257
01,0,280,120,163,44,6,276,275,36,26,10,01:258,01:257
01,0,283,84,114,31,5,275,259,26,23,3,01:258,01:257
01,0,284,115,162,48,6,283,275,31,26,5,01:258,01:257
01,0,287,115,155,41,6,283,275,31,26,5,01:258,01:257
01,0,290,35,58,24,3,258,257,16,15,1,01:258,01:257
01,0,291,59,86,28,4,290,258,24,16,8,01:258,01:257
01,0,292,87,125,39,5,291,290,28,24,4,01:258,01:257
01,0,293,126,171,46,6,292,291,39,28,11,01:258,01:257
01,0,296,126,174,49,6,292,291,39,28,11,01:258,01:257
01,0,299,87,120,34,5,291,290,28,24,4,01:258,01:257
01,0,300,121,171,51,6,299,291,34,28,6,01:258,01:257
01,0,303,121,165,45,6,299,291,34,28,6,01:258,01:257
01,0,306,59,85,27,4,290,258,24,16,8,01:258,01:257
01,0,307,86,123,38,5,306,290,27,24,3,01:258,01:257
01,0,308,124,170,47,6,307,306,38,27,11,01:258,01:257
01,0,311,124,169,46,6,307,306,38,27,11,01:258,01:257
01,0,314,86,123,38,5,306,290,27,24,3,01:258,01:257
01,0,315,124,173,50,6,314,306,38,27,11,01:258,01:257
01,0,318,124,173,50,6,314,306,38,27,11,01:258,01:257
01,0,321,19,34,16,2,257,256,15,4,11,01:321,01:257
01,0,322,35,58,24,3,321,257,16,15,1,01:321,01:257
01,0,323,59,87,29,4,322,321,24,16,8,01:321,01:257
01,0,324,88,120,33,5,323,322,29,24,5,01:321,01:257
01,0,325,121,165,45,6,324,323,33,29,4,01:321,01:257
01,0,328,121,164,44,6,324,323,33,29,4,01:321,01:257
01,0,331,88,121,34,5,323,322,29,24,5,01:321,01:257
01,0,332,122,166,45,6,331,323,34,29,5,01:321,01:257
01,0,335,122,165,44,6,331,323,34,29,5,01:321,01:257
01,0,338,59,85,27,4,322,321,24,16,8,01:321,01:257
01,0,339,86,120,35,5,338,322,27,24,3,01:321,01:257
01,0,340,121,168,48,6,339,338,35,27,8,01:321,01:257
01,0,343,121,168,48,6,339,338,35,27,8,01:321,01:257
01,0,346,86,118,33,5,338,322,27,24,3,01:321,01:257
01,0,347,119,158,40,6,346,338,33,27,6,01:321,01:257
01,0,350,119,168,50,6,346,338,33,27,6,01:321,01:257
01,0,353,35,59,25,3,321,257,16,15,1,01:321,01:257
01,0,354,60,89,30,4,353,321,25,16,9,01:321,01:257
01,0,355,90,129,40,5,354,353,30,25,5,01:321,01:257
01,0,356,130,178,49,6,355,354,40,30,10,01:321,01:257
01,0,359,130,175,46,6,355,354,40,30,10,01:321,01:257
01,0,362,90,125,36,5,354,353,30,25,5,01:321,01:257
01,0,363,126,171,46,6,362,354,36,30,6,01:321,01:257
01,0,366,126,171,46,6,362,354,36,30,6,01:321,01:257
01,0,369,60,88,29,4,353,321,25,16,9,01:321,01:257
01,0,370,89,124,36,5,369,353,29,25,4,01:321,01:257
01,0,371,125,170,46,6,370,369,36,29,7,01:321,01:257
01,0,374,125,170,46,6,370,369,36,29,7,01:321,01:257
01,0,377,89,122,34,5,369,353,29,25,4,01:321,01:257
01,0,378,123,167,45,6,377,369,34,29,5,01:321,01:257
01,0,381,123,168,46,6,377,369,34,29,5,01:321,01:257
01,0,385,18,34,17,2,384,256,14,4,10,01:385,01:384
01,0,386,35,58,24,3,385,384,17,14,3,01:385,01:384
01,0,387,59,86,28,4,386,385,24,17,7,01:385,01:384
01,0,388,87,123,37,5,387,386,28,24,4,01:385,01:384
01,0,389,124,173,50,6,388,387,37,28,9,01:385,01:384
01,0,392,124,167,44,6,388,387,37,28,9,01:385,01:384
01,0,395,87,120,34,5,387,386,28,24,4,01:385,01:384
01,0,396,121,167,47,6,395,387,34,28,6,01:385,01:384
01,0,399,121,160,40,6,395,387,34,28,6,01:385,01:384
01,0,402,59,84,26,4,386,385,24,17,7,01:385,01:384
01,0,403,85,120,36,5,402,386,26,24,2,01:385,01:384
01,0,404,121,167,47,6,403,402,36,26,10,01:385,01:384
01,0,407,121,165,45,6,403,402,36,26,10,01:385,01:384
01,0,410,85,117,33,5,402,386,26,24,2,01:385,01:384
01,0,411,118,166,49,6,410,402,33,26,7,01:385,01:384
01,0,414,118,161,44,6,410,402,33,26,7,01:385,01:384
01,0,417,35,58,24,3,385,384,17,14,3,01:385,01:384
01,0,418,59,84,26,4,417,385,24,17,7,01:385,01:384
01,0,419,85,120,36,5,418,417,26,24,2,01:385,01:384
01,0,420,121,165,45,6,419,418,36,26,10,01:385,01:384
01,0,423,121,171,51,6,419,418,36,26,10,01:385,01:384
01,0,426,85,118,34,5,418,417,26,24,2,01:385,01:384
01,0,427,119,166,48,6,426,418,34,26,8,01:385,01:384
01,0,430,119,162,44,6,426,418,34,26,8,01:385,01:384
01,0,433,59,85,27,4,417,385,24,17,7,01:385,01:384
01,0,434,86,122,37,5,433,417,27,24,3,01:385,01:384
01,0,435,123,169,47,6,434,433,37,27,10,01:385,01:384
01,0,438,123,168,46,6,434,433,37,27,10,01:385,01:384
01,0,441,86,124,39,5,433,417,27,24,3,01:385,01:384
01,0,442,125,176,52,6,441,433,39,27,12,01:385,01:384
01,0,445,125,176,52,6,441,433,39,27,12,01:385,01:384
01,0,448,18,34,17,2,384,256,14,4,10,01:448,01:384
01,0,449,35,58,24,3,448,384,17,14,3,01:448,01:384
01,0,450,59,86,28,4,449,448,24,17,7,01:448,01:384
01,0,451,87,120,34,5,450,449,28,24,4,01:448,01:384
01,0,452,121,163,43,6,451,450,34,28,6,01:448,01:384
01,0,455,121,166,46,6,451,450,34,28,6,01:448,01:384
01,0,458,87,119,33,5,450,449,28,24,4,01:448,01:384
01,0,459,120,164,45,6,458,450,33,28,5,01:448,01:384
01,0,462,120,162,43,6,458,450,33,28,5,01:448,01:384
01,0,465,59,85,27,4,449,448,24,17,7,01:448,01:384
01,0,466,86,120,35,5,465,449,27,24,3,01:448,01:384
01,0,467,121,169,49,6,466,465,35,27,8,01:448,01:384
01,0,470,121,165,45,6,466,465,35,27,8,01:448,01:384
01,0,473,86,119,34,5,465,449,27,24,3,01:448,01:384
01,0,474,120,164,45,6,473,465,34,27,7,01:448,01:384
01,0,477,120,165,46,6,473,465,34,27,7,01:448,01:384
01,0,480,35,59,25,3,448,384,17,14,3,01:448,01:384
01,0,481,60,88,29,4,480,448,25,17,8,01:448,01:384
01,0,482,89,126,38,5,481,480,29,25,4,01:448,01:384
01,0,483,127,173,47,6,482,481,38,29,9,01:448,01:384
01,0,486,127,174,48,6,482,481,38,29,9,01:448,01:384
01,0,489,89,124,36,5,481,480,29,25,4,01:448,01:384
01,0,490,125,169,45,6,489,481,36,29,7,01:448,01:384
01,0,493,125,173,49,6,489,481,36,29,7,01:448,01:384
01,0,496,60,86,27,4,480,448,25,17,8,01:448,01:384
01,0,497,87,119,33,5,496,480,27,25,2,01:448,01:384
01,0,498,120,165,46,6,497,496,33,27,6,01:448,01:384
01,0,501,120,165,46,6,497,496,33,27,6,01:448,01:384
01,0,504,87,120,34,5,496,480,27,25,2,01:448,01:384
01,0,505,121,165,45,6,504,496,34,27,7,01:448,01:384
01,0,508,121,166,46,6,504,496,34,27,7,01:448,01:384
01,0,513,24,44,21,2,512,511,17,7,10,01:513,01:512
01,0,514,45,67,23,3,513,512,21,17,4,01:513,01:512
01,0,515,68,96,29,4,514,513,23,21,2,01:513,01:512
01,0,516,97,126,30,5,515,514,29,23,6,01:513,01:512
01,0,517,127,163,37,6,516,515,30,29,1,01:513,01:512
01,0,520,127,169,43,6,516,515,30,29,1,01:513,01:512
01,0,523,97,130,34,5,515,514,29,23,6,01:513,01:512
01,0,524,131,166,36,6,523,515,34,29,5,01:513,01:512
01,0,527,131,191,61,6,523,515,34,29,5,01:513,01:512
01,0,530,68,96,29,4,514,513,23,21,2,01:513,01:512
01,0,531,97,128,32,5,530,514,29,23,6,01:513,01:512
01,0,532,129,164,36,6,531,530,32,29,3,01:513,01:512
01,0,535,129,174,46,6,531,530,32,29,3,01:513,01:512
01,0,538,97,134,38,5,530,514,29,23,6,01:513,01:512
01,0,541,45,69,25,3,513,512,21,17,4,01:513,01:512
01,0,542,70,97,28,4,541,513,25,21,4,01:513,01:512
01,0,543,98,132,35,5,542,541,28,25,3,01:513,01:512
01,0,544,133,178,46,6,543,542,35,28,7,01:513,01:512
01,0,547,133,189,57,6,543,542,35,28,7,01:513,01:512
01,0,550,98,136,39,5,542,541,28,25,3,01:513,01:512
01,0,551,137,180,44,6,550,542,39,28,11,01:513,01:512
01,0,554,137,191,55,6,550,542,39,28,11,01:513,01:512
01,0,557,70,100,31,4,541,513,25,21,4,01:513,01:512
01,0,558,101,144,44,5,557,541,31,25,6,01:513,01:512
01,0,561,101,145,45,5,557,541,31,25,6,01:513,01:512
01,0,564,24,44,21,2,512,511,17,7,10,01:564,01:512
01,0,565,45,68,24,3,564,512,21,17,4,01:564,01:512
01,0,566,69,98,30,4,565,564,24,21,3,01:564,01:512
01,0,567,99,129,31,5,566,565,30,24,6,01:564,01:512
01,0,568,130,167,38,6,567,566,31,30,1,01:564,01:512
01,0,571,130,169,40,6,567,566,31,30,1,01:564,01:512
01,0,574,99,135,37,5,566,565,30,24,6,01:564,01:512
01,0,575,136,175,40,6,574,566,37,30,7,01:564,01:512
01,0,579,69,97,29,4,565,564,24,21,3,01:564,01:512
01,0,580,98,128,31,5,579,565,29,24,5,01:564,01:512
01,0,581,129,168,40,6,580,579,31,29,2,01:564,01:512
01,0,584,129,174,46,6,580,579,31,29,2,01:564,01:512
01,0,587,98,138,41,5,579,565,29,24,5,01:564,01:512
01,0,590,45,70,26,3,564,512,21,17,4,01:564,01:512
01,0,591,71,100,30,4,590,564,26,21,5,01:564,01:512
01,0,592,101,137,37,5,591,590,30,26,4,01:564,01:512
01,0,593,138,181,44,6,592,591,37,30,7,01:564,01:512
01,0,597,101,137,37,5,591,590,30,26,4,01:564,01:512
01,0,598,138,182,45,6,597,591,37,30,7,01:564,01:512
01,0,602,71,102,32,4,590,564,26,21,5,01:564,01:512
01,0,603,103,142,40,5,602,590,32,26,6,01:564,01:512
01,0,606,103,145,43,5,602,590,32,26,6,01:564,01:512
01,0,610,25,60,36,2,609,511,18,7,11,01:610,01:609
01,0,611,61,105,45,3,610,609,36,18,18,01:610,01:609
01,0,612,106,169,64,4,611,610,45,36,9,01:610,01:609
01,0,615,106,169,64,4,611,610,45,36,9,01:610,01:609
01,0,618,61,101,41,3,610,609,36,18,18,01:610,01:609
01,0,619,102,166,65,4,618,610,41,36,5,01:610,01:609
01,0,622,102,171,70,4,618,610,41,36,5,01:610,01:609
01,0,625,25,63,39,2,609,511,18,7,11,01:625,01:609
01,0,626,64,107,44,3,625,609,39,18,21,01:625,01:609
01,0,627,108,175,68,4,626,625,44,39,5,01:625,01:609
01,0,630,108,182,75,4,626,625,44,39,5,01:625,01:609
01,0,633,64,104,41,3,625,609,39,18,21,01:625,01:609
01,0,634,105,176,72,4,633,625,41,39,2,01:625,01:609
01,0,637,105,181,77,4,633,625,41,39,2,01:625,01:609
01,0,642,29,51,23,2,641,640,18,11,7,01:642,01:641
01,0,643,52,79,28,3,642,641,23,18,5,01:642,01:641
01,0,644,80,110,31,4,643,642,28,23,5,01:642,01:641
01,0,645,111,154,44,5,644,643,31,28,3,01:642,01:641
01,0,648,111,151,41,5,644,643,31,28,3,01:642,01:641
01,0,651,80,117,38,4,643,642,28,23,5,01:642,01:641
01,0,653,118,165,48,5,651,643,38,28,10,01:642,01:641
01,0,656,52,84,33,3,642,641,23,18,5,01:642,01:641
01,0,657,85,131,47,4,656,642,33,23,10,01:642,01:641
01,0,658,132,184,53,5,657,656,47,33,14,01:642,01:641
01,0,661,132,185,54,5,657,656,47,33,14,01:642,01:641
01,0,664,85,126,42,4,656,642,33,23,10,01:642,01:641
01,0,665,127,173,47,5,664,656,42,33,9,01:642,01:641
01,0,668,127,178,52,5,664,656,42,33,9,01:642,01:641
01,0,671,29,51,23,2,641,640,18,11,7,01:671,01:641
01,0,672,52,79,28,3,671,641,23,18,5,01:671,01:641
01,0,673,80,112,33,4,672,671,28,23,5,01:671,01:641
01,0,674,113,176,64,5,673,672,33,28,5,01:671,01:641
01,0,677,113,155,43,5,673,672,33,28,5,01:671,01:641
01,0,680,80,111,32,4,672,671,28,23,5,01:671,01:641
01,0,681,112,162,51,5,680,672,32,28,4,01:671,01:641
01,0,684,112,160,49,5,680,672,32,28,4,01:671,01:641
01,0,687,52,81,30,3,671,641,23,18,5,01:671,01:641
01,0,688,82,128,47,4,687,671,30,23,7,01:671,01:641
01,0,689,129,182,54,5,688,687,47,30,17,01:671,01:641
01,0,692,129,180,52,5,688,687,47,30,17,01:671,01:641
01,0,695,82,121,40,4,687,671,30,23,7,01:671,01:641
01,0,696,122,171,50,5,695,687,40,30,10,01:671,01:641
01,0,699,122,169,48,5,695,687,40,30,10,01:671,01:641
01,0,703,35,65,31,2,702,640,24,11,13,01:703,01:702
01,0,704,66,108,43,3,703,702,31,24,7,01:703,01:702
01,0,705,109,154,46,4,704,703,43,31,12,01:703,01:702
01,0,708,109,147,39,4,704,703,43,31,12,01:703,01:702
01,0,711,66,105,40,3,703,702,31,24,7,01:703,01:702
01,0,712,106,153,48,4,711,703,40,31,9,01:703,01:702
01,0,715,106,146,41,4,711,703,40,31,9,01:703,01:702
01,0,718,35,88,54,2,702,640,24,11,13,01:718,01:702
02,1,3,14,26,13,2,2,1,10,4,6,02:3,02:2
02,1,4,27,41,15,3,3,2,13,10,3,02:3,02:2
02,1,5,42,62,21,4,4,3,15,13,2,02:3,02:2
02,1,6,63,90,28,5,5,4,21,15,6,02:3,02:2
02,1,7,91,122,32,6,6,5,28,21,7,02:3,02:2
02,1,8,123,165,43,7,7,6,32,28,4,02:3,02:2
02,1,11,123,164,42,7,7,6,32,28,4,02:3,02:2
02,1,14,91,119,29,6,6,5,28,21,7,02:3,02:2
02,1,15,120,153,34,7,14,6,29,28,1,02:3,02:2
02,1,18,120,163,44,7,14,6,29,28,1,02:3,02:2
02,1,21,63,90,28,5,5,4,21,15,6,02:3,02:2
02,1,22,91,121,31,6,21,5,28,21,7,02:3,02:2
02,1,23,122,159,38,7,22,21,31,28,3,02:3,02:2
02,1,26,122,156,35,7,22,21,31,28,3,02:3,02:2
02,1,29,91,122,32,6,21,5,28,21,7,02:3,02:2
02,1,30,123,159,37,7,29,21,32,28,4,02:3,02:2
02,1,33,123,158,36,7,29,21,32,28,4,02:3,02:2
02,1,36,42,62,21,4,4,3,15,13,2,02:3,02:2
02,1,37,63,89,27,5,36,4,21,15,6,02:3,02:2
02,1,38,90,120,31,6,37,36,27,21,6,02:3,02:2
02,1,39,121,162,42,7,38,37,31,27,4,02:3,02:2
02,1,42,121,156,36,7,38,37,31,27,4,02:3,02:2
02,1,45,90,118,29,6,37,36,27,21,6,02:3,02:2
02,1,46,119,158,40,7,45,37,29,27,2,02:3,02:2
02,1,49,119,154,36,7,45,37,29,27,2,02:3,02:2
02,1,52,63,89,27,5,36,4,21,15,6,02:3,02:2
02,1,53,90,125,36,6,52,36,27,21,6,02:3,02:2
02,1,54,126,169,44,7,53,52,36,27,9,02:3,02:2
02,1,57,126,165,40,7,53,52,36,27,9,02:3,02:2
02,1,60,90,124,35,6,52,36,27,21,6,02:3,02:2
02,1,61,125,164,40,7,60,52,35,27,8,02:3,02:2
02,1,64,125,164,40,7,60,52,35,27,8,02:3,02:2
02,1,67,27,41,15,3,3,2,13,10,3,02:3,02:2
02,1,68,42,63,22,4,67,3,15,13,2,02:3,02:2
02,1,69,64,89,26,5,68,67,22,15,7,02:3,02:2
02,1,70,90,126,37,6,69,68,26,22,4,02:3,02:2
02,1,71,127,167,41,7,70,69,37,26,11,02:3,02:2
02,1,74,127,167,41,7,70,69,37,26,11,02:3,02:2
02,1,77,90,119,30,6,69,68,26,22,4,02:3,02:2
02,1,78,120,154,35,7,77,69,30,26,4,02:3,02:2
02,1,81,120,160,41,7,77,69,30,26,4,02:3,02:2
02,1,84,64,90,27,5,68,67,22,15,7,02:3,02:2
02,1,85,91,121,31,6,84,68,27,22,5,02:3,02:2
02,1,86,122,161,40,7,85,84,31,27,4,02:3,02:2
02,1,89,122,161,40,7,85,84,31,27,4,02:3,02:2
02,1,92,91,119,29,6,84,68,27,22,5,02:3,02:2
02,1,93,120,156,37,7,92,84,29,27,2,02:3,02:2
02,1,96,120,158,39,7,92,84,29,27,2,02:3,02:2
02,1,99,42,65,24,4,67,3,15,13,2,02:3,02:2
02,1,100,66,92,27,5,99,67,24,15,9,02:3,02:2
02,1,101,93,135,43,6,100,99,27,24,3,02:3,02:2
02,1,102,136,174,39,7,101,100,43,27,16,02:3,02:2
02,1,105,136,174,39,7,101,100,43,27,16,02:3,02:2
02,1,108,93,122,30,6,100,99,27,24,3,02:3,02:2
02,1,109,123,158,36,7,108,100,30,27,3,02:3,02:2
02,1,112,123,156,34,7,108,100,30,27,3,02:3,02:2
02,1,115,66,90,25,5,99,67,24,15,9,02:3,02:2
02,1,116,91,123,33,6,115,99,25,24,1,02:3,02:2
02,1,117,124,168,45,7,116,115,33,25,8,02:3,02:2
02,1,120,124,159,36,7,116,115,33,25,8,02:3,02:2
02,1,123,91,119,29,6,115,99,25,24,1,02:3,02:2
02,1,124,120,157,38,7,123,115,29,25,4,02:3,02:2
02,1,127,120,152,33,7,123,115,29,25,4,02:3,02:2
02,1,130,14,26,13,2,2,1,10,4,6,02:130,02:2
02,1,131,27,40,14,3,130,2,13,10,3,02:130,02:2
02,1,132,41,61,21,4,131,130,14,13,1,02:130,02:2
02,1,133,62,87,26,5,132,131,21,14,7,02:130,02:2
02,1,134,88,124,37,6,133,132,26,21,5,02:130,02:2
02,1,135,125,163,39,7,134,133,37,26,11,02:130,02:2
02,1,138,125,166,42,7,134,133,37,26,11,02:130,02:2
02,1,141,88,116,29,6,133,132,26,21,5,02:130,02:2
02,1,142,117,152,36,7,141,133,29,26,3,02:130,02:2
02,1,145,117,158,42,7,141,133,29,26,3,02:130,02:2
02,1,148,62,87,26,5,132,131,21,14,7,02:130,02:2
02,1,149,88,117,30,6,148,132,26,21,5,02:130,02:2
02,1,150,118,157,40,7,149,148,30,26,4,02:130,02:2
02,1,153,118,153,36,7,149,148,30,26,4,02:130,02:2
02,1,156,88,117,30,6,148,132,26,21,5,02:130,02:2
02,1,157,118,159,42,7,156,148,30,26,4,02:130,02:2
02,1,160,118,157,40,7,156,148,30,26,4,02:130,02:2
02,1,163,41,61,21,4,131,130,14,13,1,02:130,02:2
02,1,164,62,86,25,5,163,131,21,14,7,02:130,02:2
02,1,165,87,118,32,6,164,163,25,21,4,02:130,02:2
02,1,166,119,161,43,7,165,164,32,25,7,02:130,02:2
02,1,169,119,155,37,7,165,164,32,25,7,02:130,02:2
02,1,172,87,115,29,6,164,163,25,21,4,02:130,02:2
02,1,173,116,153,38,7,172,164,29,25,4,02:130,02:2
