sequence,frame,label,x_px,y_px,z_slice,voxel_count
01,15,75,974.0,880.0,4.0,9
01,15,76,964.0,814.0,4.0,9
01,15,77,873.0,926.0,4.0,9
01,15,78,925.0,802.0,4.0,9
01,15,79,947.0,616.0,4.0,9
01,15,80,930.0,762.0,5.0,9
01,15,81,943.0,918.0,4.0,9
01,15,82,824.0,958.0,4.0,9
01,15,83,896.0,956.0,5.0,9
01,15,84,853.0,948.0,4.0,9
01,15,85,946.0,848.0,4.0,9
01,15,86,979.0,683.0,4.0,9
01,15,87,998.0,650.0,5.0,9
01,15,88,982.0,624.0,6.0,9
01,15,89,1011.0,686.0,4.0,9
01,15,90,1002.0,722.0,4.0,9
01,15,91,952.0,698.0,5.0,9
01,15,92,972.0,845.0,7.0,9
01,15,93,827.0,989.0,4.0,9
01,15,94,572.0,1136.0,4.0,9
01,15,95,633.0,1078.0,3.0,9
01,15,96,609.0,1138.0,4.0,9
01,15,97,545.0,1175.0,3.0,9
01,15,98,548.0,1147.0,3.0,9
01,15,99,626.0,1170.0,4.0,9
01,15,100,639.0,1123.0,4.0,9
01,15,101,809.0,1004.0,3.0,9
01,15,102,761.0,1039.0,3.0,9
01,15,103,752.0,1007.0,5.0,9
01,15,104,735.0,1056.0,3.0,9
01,15,105,689.0,1113.0,4.0,9
01,15,106,659.0,1097.0,2.0,9
01,15,107,663.0,1070.0,4.0,9
01,15,108,774.0,1070.0,4.0,9
01,15,109,614.0,1114.0,6.0,9
01,15,110,682.0,1040.0,4.0,9
01,15,111,685.0,1083.0,5.0,9
01,15,112,665.0,1124.0,6.0,9
01,15,113,522.0,1205.0,6.0,9
01,15,114,593.0,1165.0,5.0,9
01,15,115,569.0,1169.0,6.0,9
01,15,116,705.0,1060.0,4.0,9
01,15,117,723.0,1033.0,5.0,9
01,15,118,782.0,1015.0,4.0,9
01,15,119,837.0,1020.0,4.0,9
01,15,120,816.0,1036.0,3.0,9
01,15,121,712.0,1099.0,5.0,9
01,15,122,742.0,1086.0,3.0,9
01,15,123,789.0,1045.0,5.0,9
01,20,1,310.0,1387.0,4.0,9
01,20,2,350.0,1335.0,5.0,9
01,20,3,336.0,1395.0,5.0,9
01,20,4,355.0,1477.0,3.0,9
01,20,5,323.0,1488.0,5.0,9
01,20,6,350.0,1446.0,4.0,9
01,20,7,367.0,1500.0,4.0,9
01,20,8,484.0,1192.0,6.0,9
01,20,9,483.0,1161.0,6.0,9
01,20,10,432.0,1191.0,5.0,9
01,20,11,462.0,1210.0,6.0,9
01,20,12,366.0,1370.0,4.0,9
01,20,13,435.0,1279.0,6.0,9
01,20,14,389.0,1360.0,4.0,9
01,20,15,460.0,1261.0,5.0,9
01,20,16,361.0,1294.0,5.0,9
01,20,17,372.0,1260.0,6.0,9
01,20,18,399.0,1260.0,6.0,9
01,20,19,381.0,1310.0,8.0,9
01,20,20,360.0,1424.0,4.0,9
01,20,21,328.0,1351.0,5.0,9
01,20,22,322.0,1431.0,5.0,9
01,20,23,407.0,1209.0,6.0,9
01,20,24,435.0,1225.0,6.0,9
01,20,25,509.0,1177.0,7.0,9
01,20,26,456.0,1177.0,5.0,9
01,20,27,472.0,1236.0,5.0,9
01,20,28,408.0,1289.0,6.0,9
01,20,29,424.0,1249.0,7.0,9
01,20,30,403.0,1327.0,7.0,9
01,20,31,346.0,1523.0,4.0,9
01,20,32,329.0,1570.0,4.0,9
01,20,33,324.0,1538.0,5.0,9
01,20,35,353.0,1651.0,4.0,9
01,20,36,311.0,1608.0,4.0,9
01,20,37,326.0,1641.0,4.0,9
01,20,38,358.0,1572.0,3.0,9
01,20,39,418.0,1748.0,3.0,9
01,20,40,393.0,1712.0,3.0,9
01,20,41,377.0,1607.0,4.0,9
01,20,42,424.0,1816.0,4.0,9
01,20,43,450.0,1870.0,3.0,9
01,20,44,408.0,1875.0,3.0,9
01,20,45,421.0,1903.0,3.0,9
01,20,46,394.0,1690.0,5.0,9
01,20,47,419.0,1695.0,6.0,9
01,20,48,380.0,1655.0,4.0,9
01,20,50,370.0,1687.0,5.0,9
01,20,51,422.0,1785.0,5.0,9
01,20,52,423.0,1722.0,5.0,9
01,20,53,424.0,1850.0,3.0,9
01,20,54,445.0,1772.0,4.0,9
01,20,55,477.0,1771.0,5.0,9
01,20,56,456.0,1742.0,4.0,9
01,20,57,443.0,1702.0,6.0,9
01,20,58,464.0,1801.0,3.0,9
01,20,59,462.0,1891.0,4.0,9
01,20,60,447.0,1828.0,4.0,9
01,20,61,469.0,1850.0,4.0,9
01,20,62,511.0,1148.0,3.0,9
01,20,63,889.0,877.0,4.0,9
01,20,64,909.0,840.0,3.0,9
01,20,65,907.0,920.0,4.0,9
01,20,67,853.0,976.0,3.0,9
01,20,68,766.0,986.0,4.0,9
01,20,69,929.0,879.0,4.0,9
01,20,70,962.0,734.0,4.0,9
01,20,71,957.0,649.0,4.0,9
01,20,72,991.0,756.0,4.0,9
01,20,73,962.0,774.0,3.0,9
01,20,74,994.0,806.0,3.0,9
01,20,75,974.0,879.0,4.0,9
01,20,76,962.0,808.0,4.0,9
01,20,77,870.0,921.0,4.0,9
01,20,78,926.0,798.0,4.0,9
01,20,79,944.0,611.0,4.0,9
01,20,80,928.0,759.0,4.0,9
01,20,81,940.0,918.0,4.0,9
01,20,82,819.0,957.0,4.0,9
01,20,83,891.0,956.0,4.0,9
01,20,84,852.0,941.0,4.0,9
01,20,85,944.0,845.0,4.0,9
01,20,86,979.0,679.0,5.0,9
01,20,87,999.0,648.0,4.0,9
01,20,88,982.0,620.0,5.0,9
01,20,89,1010.0,682.0,4.0,9
01,20,90,1002.0,722.0,4.0,9
01,20,91,951.0,697.0,5.0,9
01,20,92,971.0,840.0,7.0,9
01,20,93,823.0,989.0,4.0,9
01,20,94,567.0,1133.0,3.0,9
01,20,95,627.0,1079.0,3.0,9
01,20,96,606.0,1139.0,3.0,9
01,20,97,539.0,1177.0,3.0,9
01,20,98,544.0,1146.0,3.0,9
01,20,99,625.0,1168.0,2.0,9
01,20,100,634.0,1122.0,4.0,9
01,20,101,803.0,1005.0,3.0,9
01,20,102,754.0,1034.0,3.0,9
01,20,103,749.0,1006.0,4.0,9
01,20,104,730.0,1054.0,3.0,9
01,20,105,685.0,1113.0,4.0,9
01,20,106,653.0,1096.0,2.0,9
01,20,107,658.0,1071.0,4.0,9
01,20,108,770.0,1068.0,4.0,9
01,20,109,609.0,1113.0,6.0,9
01,20,110,677.0,1040.0,4.0,9
01,20,111,678.0,1085.0,4.0,9
01,20,112,660.0,1124.0,6.0,9
01,20,113,517.0,1207.0,6.0,9
01,20,114,588.0,1165.0,4.0,9
01,20,115,564.0,1168.0,6.0,9
01,20,116,701.0,1057.0,4.0,9
01,20,117,716.0,1030.0,4.0,9
01,20,118,777.0,1012.0,5.0,9
01,20,119,836.0,1018.0,4.0,9
01,20,120,806.0,1036.0,3.0,9
01,20,121,708.0,1097.0,5.0,9
01,20,122,738.0,1082.0,3.0,9
01,20,123,784.0,1041.0,6.0,9
01,20,124,354.0,1608.0,3.0,9
01,20,125,330.0,1597.0,3.0,9
01,20,126,898.0,984.0,4.0,9
01,20,127,874.0,986.0,3.0,9
01,20,128,417.0,1647.0,4.0,9
01,20,129,402.0,1662.0,4.0,9
01,23,1,301.0,1385.0,5.0,9
01,23,2,346.0,1331.0,5.0,9
01,23,3,329.0,1395.0,5.0,9
01,23,4,350.0,1477.0,3.0,9
01,23,5,318.0,1490.0,5.0,9
01,23,6,347.0,1447.0,4.0,9
01,23,7,364.0,1500.0,4.0,9
01,23,8,479.0,1190.0,7.0,9
01,23,9,481.0,1160.0,6.0,9
01,23,10,427.0,1189.0,5.0,9
01,23,11,456.0,1207.0,6.0,9
01,23,12,360.0,1367.0,4.0,9
01,23,13,434.0,1280.0,6.0,9
01,23,14,382.0,1359.0,4.0,9
01,23,15,452.0,1260.0,5.0,9
01,23,16,358.0,1292.0,6.0,9
01,23,17,368.0,1256.0,6.0,9
01,23,18,400.0,1258.0,6.0,9
01,23,19,376.0,1308.0,7.0,9
01,23,20,353.0,1421.0,4.0,9
01,23,21,323.0,1347.0,6.0,9
01,23,22,319.0,1432.0,5.0,9
01,23,23,403.0,1209.0,6.0,9
01,23,24,430.0,1221.0,6.0,9
01,23,25,505.0,1177.0,8.0,9
01,23,26,454.0,1175.0,6.0,9
01,23,27,468.0,1235.0,6.0,9
01,23,28,400.0,1287.0,6.0,9
01,23,29,418.0,1245.0,7.0,9
01,23,30,399.0,1327.0,7.0,9
01,23,31,344.0,1521.0,4.0,9
01,23,32,331.0,1570.0,5.0,9
01,23,33,319.0,1540.0,5.0,9
01,23,35,351.0,1648.0,4.0,9
01,23,36,310.0,1606.0,4.0,9
01,23,37,325.0,1640.0,4.0,9
01,23,38,359.0,1572.0,3.0,9
01,23,39,415.0,1749.0,3.0,9
01,23,40,391.0,1711.0,3.0,9
01,23,41,377.0,1606.0,4.0,9
01,23,42,423.0,1815.0,4.0,9
01,23,43,450.0,1870.0,3.0,9
01,23,44,409.0,1874.0,3.0,9
01,23,45,422.0,1902.0,3.0,9
01,23,46,392.0,1690.0,6.0,9
01,23,47,416.0,1690.0,4.0,9
01,23,48,376.0,1653.0,4.0,9
01,23,50,367.0,1688.0,5.0,9
01,23,51,420.0,1785.0,5.0,9
01,23,52,421.0,1724.0,5.0,9
01,23,53,423.0,1849.0,3.0,9
01,23,54,445.0,1773.0,4.0,9
01,23,55,476.0,1773.0,5.0,9
01,23,56,456.0,1743.0,4.0,9
01,23,57,442.0,1703.0,6.0,9
01,23,58,465.0,1801.0,4.0,9
01,23,59,464.0,1892.0,4.0,9
01,23,60,449.0,1830.0,4.0,9
01,23,61,469.0,1850.0,5.0,9
01,23,62,507.0,1146.0,3.0,9
01,23,63,887.0,874.0,4.0,9
01,23,64,908.0,836.0,3.0,9
01,23,65,906.0,916.0,4.0,9
01,23,67,848.0,974.0,4.0,9
01,23,68,761.0,985.0,4.0,9
01,23,70,959.0,732.0,4.0,9
01,23,71,954.0,645.0,4.0,9
01,23,72,989.0,753.0,4.0,9
01,23,73,962.0,770.0,3.0,9
01,23,74,992.0,801.0,3.0,9
01,23,75,973.0,876.0,4.0,9
01,23,76,958.0,805.0,4.0,9
01,23,77,867.0,918.0,4.0,9
01,23,78,925.0,796.0,4.0,9
01,23,79,941.0,608.0,4.0,9
01,23,80,926.0,756.0,4.0,9
01,23,81,939.0,911.0,4.0,9
01,23,82,813.0,955.0,4.0,9
01,23,83,888.0,955.0,4.0,9
01,23,84,848.0,940.0,4.0,9
01,23,85,944.0,841.0,4.0,9
01,23,86,978.0,677.0,5.0,9
01,23,87,997.0,647.0,4.0,9
01,23,88,979.0,617.0,5.0,9
01,23,89,1011.0,682.0,4.0,9
01,23,90,997.0,718.0,4.0,9
01,23,91,950.0,695.0,5.0,9
01,23,92,971.0,836.0,7.0,9
01,23,93,819.0,985.0,4.0,9
01,23,94,566.0,1132.0,2.0,9
01,23,95,625.0,1078.0,3.0,9
01,23,96,603.0,1137.0,3.0,9
01,23,97,535.0,1174.0,4.0,9
01,23,98,541.0,1147.0,3.0,9
01,23,100,633.0,1124.0,4.0,9
01,23,101,798.0,1001.0,3.0,9
01,23,102,750.0,1033.0,4.0,9
01,23,103,745.0,1005.0,5.0,9
01,23,104,727.0,1052.0,3.0,9
01,23,105,681.0,1113.0,4.0,9
01,23,106,650.0,1096.0,2.0,9
01,23,107,654.0,1070.0,4.0,9
01,23,108,765.0,1064.0,4.0,9
01,23,109,607.0,1115.0,6.0,9
01,23,110,674.0,1041.0,4.0,9
01,23,111,677.0,1085.0,4.0,9
01,23,112,657.0,1124.0,6.0,9
01,23,113,515.0,1205.0,6.0,9
01,23,114,583.0,1161.0,4.0,9
01,23,115,560.0,1169.0,6.0,9
01,23,116,697.0,1056.0,4.0,9
01,23,117,710.0,1028.0,4.0,9
01,23,118,778.0,1009.0,5.0,9
01,23,119,835.0,1018.0,5.0,9
01,23,120,806.0,1035.0,3.0,9
01,23,121,705.0,1096.0,5.0,9
01,23,122,730.0,1081.0,3.0,9
01,23,123,781.0,1039.0,6.0,9
01,23,124,357.0,1608.0,2.0,9
01,23,125,329.0,1595.0,3.0,9
01,23,126,902.0,983.0,4.0,9
01,23,127,871.0,985.0,3.0,9
01,23,128,421.0,1642.0,4.0,9
01,23,129,399.0,1668.0,4.0,9
01,23,130,919.0,885.0,4.0,9
01,23,131,934.0,864.0,4.0,9
01,23,132,627.0,1170.0,4.0,9
01,23,133,609.0,1166.0,3.0,9
01,24,1,301.0,1383.0,5.0,9
01,24,2,344.0,1330.0,5.0,9
01,24,3,328.0,1395.0,5.0,9
01,24,4,350.0,1477.0,3.0,9
01,24,5,318.0,1490.0,5.0,9
01,24,6,347.0,1447.0,5.0,9
01,24,7,364.0,1501.0,5.0,9
01,24,8,478.0,1188.0,7.0,9
01,24,9,480.0,1159.0,6.0,9
01,24,10,426.0,1187.0,5.0,9
01,24,11,455.0,1207.0,6.0,9
01,24,12,357.0,1366.0,4.0,9
01,24,13,431.0,1279.0,6.0,9
01,24,14,381.0,1356.0,5.0,9
01,24,15,451.0,1260.0,5.0,9
01,24,16,356.0,1292.0,6.0,9
01,24,17,368.0,1256.0,6.0,9
01,24,18,399.0,1257.0,6.0,9
01,24,19,375.0,1307.0,7.0,9
01,24,20,353.0,1419.0,4.0,9
01,24,21,322.0,1347.0,6.0,9
01,24,22,318.0,1432.0,6.0,9
01,24,23,403.0,1209.0,6.0,9
01,24,24,430.0,1222.0,6.0,9
01,24,25,505.0,1176.0,8.0,9
01,24,26,454.0,1175.0,5.0,9
01,24,27,466.0,1235.0,6.0,9
01,24,28,397.0,1287.0,6.0,9
01,24,29,417.0,1246.0,8.0,9
01,24,30,397.0,1327.0,7.0,9
01,24,31,343.0,1523.0,4.0,9
01,24,32,331.0,1570.0,5.0,9
01,24,33,319.0,1540.0,5.0,9
01,24,35,350.0,1646.0,4.0,9
01,24,36,310.0,1606.0,4.0,9
01,24,37,326.0,1639.0,4.0,9
01,24,38,360.0,1571.0,4.0,9
01,24,39,414.0,1750.0,4.0,9
01,24,40,391.0,1711.0,3.0,9
01,24,41,377.0,1606.0,4.0,9
01,24,42,422.0,1815.0,4.0,9
01,24,43,450.0,1870.0,3.0,9
01,24,44,408.0,1875.0,4.0,9
01,24,45,422.0,1902.0,4.0,9
01,24,46,390.0,1690.0,6.0,9
01,24,47,417.0,1691.0,4.0,9
01,24,48,377.0,1653.0,4.0,9
01,24,50,367.0,1687.0,5.0,9
01,24,51,419.0,1786.0,5.0,9
01,24,52,421.0,1724.0,5.0,9
01,24,53,423.0,1848.0,4.0,9
01,24,54,445.0,1773.0,4.0,9
01,24,55,476.0,1773.0,5.0,9
01,24,56,456.0,1742.0,4.0,9
01,24,57,442.0,1703.0,6.0,9
01,24,58,465.0,1801.0,4.0,9
01,24,59,463.0,1891.0,4.0,9
01,24,60,449.0,1830.0,4.0,9
01,24,61,469.0,1850.0,5.0,9
01,24,62,506.0,1146.0,3.0,9
01,24,63,885.0,872.0,4.0,9
01,24,64,908.0,835.0,4.0,9
01,24,65,906.0,916.0,4.0,9
01,24,67,847.0,974.0,4.0,9
01,24,68,760.0,985.0,4.0,9
01,24,70,958.0,730.0,4.0,9
01,24,71,953.0,644.0,4.0,9
01,24,72,989.0,752.0,4.0,9
01,24,73,961.0,769.0,4.0,9
01,24,74,990.0,800.0,3.0,9
01,24,75,972.0,875.0,4.0,9
01,24,76,959.0,804.0,4.0,9
01,24,77,867.0,917.0,4.0,9
01,24,78,923.0,795.0,4.0,9
01,24,79,941.0,607.0,4.0,9
01,24,80,925.0,755.0,4.0,9
01,24,81,938.0,909.0,4.0,9
01,24,82,813.0,955.0,4.0,9
01,24,83,886.0,955.0,4.0,9
01,24,84,847.0,940.0,4.0,9
01,24,85,944.0,841.0,4.0,9
01,24,86,977.0,677.0,5.0,9
01,24,87,997.0,646.0,4.0,9
01,24,88,979.0,618.0,5.0,9
01,24,89,1011.0,682.0,4.0,9
01,24,90,997.0,717.0,4.0,9
01,24,91,948.0,693.0,5.0,9
01,24,92,970.0,836.0,7.0,9
01,24,93,818.0,985.0,4.0,9
01,24,94,565.0,1131.0,3.0,9
01,24,95,625.0,1078.0,4.0,9
01,24,96,602.0,1137.0,3.0,9
01,24,97,534.0,1173.0,4.0,9
01,24,98,539.0,1147.0,3.0,9
01,24,100,632.0,1125.0,4.0,9
01,24,101,797.0,1001.0,3.0,9
01,24,102,749.0,1031.0,4.0,9
01,24,103,744.0,1003.0,5.0,9
01,24,104,725.0,1051.0,3.0,9
01,24,105,680.0,1113.0,4.0,9
01,24,106,650.0,1096.0,2.0,9
01,24,107,653.0,1070.0,4.0,9
01,24,108,763.0,1063.0,3.0,9
01,24,109,605.0,1115.0,6.0,9
01,24,110,671.0,1040.0,4.0,9
01,24,111,676.0,1085.0,4.0,9
01,24,112,656.0,1125.0,6.0,9
01,24,113,515.0,1204.0,5.0,9
01,24,114,581.0,1160.0,4.0,9
01,24,115,558.0,1167.0,6.0,9
01,24,116,697.0,1057.0,4.0,9
01,24,117,709.0,1028.0,4.0,9
01,24,118,776.0,1009.0,5.0,9
01,24,120,804.0,1034.0,4.0,9
01,24,121,704.0,1096.0,5.0,9
01,24,122,729.0,1080.0,3.0,9
01,24,123,779.0,1038.0,6.0,9
01,24,124,357.0,1607.0,2.0,9
01,24,125,330.0,1595.0,3.0,9
01,24,126,902.0,983.0,4.0,9
01,24,127,871.0,984.0,3.0,9
01,24,128,421.0,1642.0,4.0,9
01,24,129,400.0,1669.0,4.0,9
01,24,130,917.0,886.0,4.0,9
01,24,131,933.0,862.0,4.0,9
01,24,132,628.0,1171.0,4.0,9
01,24,133,607.0,1167.0,3.0,9
01,24,134,838.0,1015.0,4.0,9
01,24,135,827.0,1015.0,4.0,9
01,25,1,302.0,1382.0,5.0,9
01,25,2,345.0,1329.0,6.0,9
01,25,3,327.0,1395.0,5.0,9
01,25,4,350.0,1477.0,3.0,9
01,25,5,318.0,1490.0,5.0,9
01,25,6,346.0,1447.0,5.0,9
01,25,7,363.0,1503.0,5.0,9
01,25,8,477.0,1187.0,7.0,9
01,25,9,479.0,1158.0,6.0,9
01,25,10,426.0,1187.0,5.0,9
01,25,11,454.0,1206.0,6.0,9
01,25,12,356.0,1365.0,4.0,9
01,25,13,428.0,1278.0,6.0,9
01,25,14,380.0,1354.0,5.0,9
01,25,15,452.0,1260.0,6.0,9
01,25,16,354.0,1291.0,6.0,9
01,25,17,367.0,1256.0,6.0,9
01,25,18,397.0,1257.0,7.0,9
01,25,19,374.0,1307.0,7.0,9
01,25,20,353.0,1416.0,5.0,9
01,25,21,322.0,1347.0,6.0,9
01,25,22,316.0,1433.0,6.0,9
01,25,23,402.0,1208.0,6.0,9
01,25,24,431.0,1222.0,6.0,9
01,25,25,504.0,1174.0,7.0,9
01,25,26,453.0,1174.0,5.0,9
01,25,27,466.0,1235.0,6.0,9
01,25,28,397.0,1287.0,6.0,9
01,25,29,416.0,1246.0,8.0,9
01,25,30,395.0,1326.0,7.0,9
01,25,31,341.0,1525.0,4.0,9
01,25,32,329.0,1569.0,5.0,9
01,25,33,318.0,1539.0,5.0,9
01,25,35,348.0,1644.0,4.0,9
01,25,36,310.0,1606.0,4.0,9
01,25,37,327.0,1638.0,5.0,9
01,25,39,415.0,1751.0,4.0,9
01,25,40,391.0,1711.0,3.0,9
01,25,41,378.0,1605.0,4.0,9
01,25,42,422.0,1815.0,4.0,9
01,25,43,450.0,1870.0,3.0,9
01,25,44,407.0,1875.0,4.0,9
01,25,45,422.0,1902.0,4.0,9
01,25,46,391.0,1691.0,6.0,9
01,25,47,419.0,1693.0,4.0,9
01,25,48,378.0,1653.0,4.0,9
01,25,50,367.0,1686.0,5.0,9
01,25,51,419.0,1786.0,5.0,9
01,25,52,421.0,1725.0,5.0,9
01,25,53,423.0,1849.0,4.0,9
01,25,54,446.0,1773.0,4.0,9
01,25,55,476.0,1774.0,5.0,9
01,25,56,456.0,1742.0,4.0,9
01,25,57,442.0,1703.0,6.0,9
01,25,58,465.0,1801.0,4.0,9
01,25,59,463.0,1892.0,4.0,9
01,25,60,449.0,1830.0,4.0,9
01,25,61,469.0,1850.0,5.0,9
01,25,62,504.0,1146.0,3.0,9
01,25,63,884.0,871.0,4.0,9
01,25,64,907.0,834.0,4.0,9
01,25,65,907.0,916.0,4.0,9
01,25,67,847.0,974.0,4.0,9
01,25,68,758.0,984.0,4.0,9
01,25,70,957.0,729.0,4.0,9
01,25,71,952.0,644.0,4.0,9
01,25,72,990.0,752.0,4.0,9
01,25,73,961.0,770.0,4.0,9
01,25,74,989.0,800.0,3.0,9
01,25,75,972.0,873.0,4.0,9
01,25,76,959.0,804.0,4.0,9
01,25,77,867.0,917.0,4.0,9
01,25,78,921.0,795.0,4.0,9
01,25,79,940.0,605.0,4.0,9
01,25,80,925.0,755.0,4.0,9
01,25,81,936.0,907.0,4.0,9
01,25,82,811.0,954.0,4.0,9
01,25,83,885.0,956.0,4.0,9
01,25,84,846.0,939.0,4.0,9
01,25,85,944.0,841.0,4.0,9
01,25,86,977.0,676.0,5.0,9
01,25,87,996.0,645.0,4.0,9
01,25,88,978.0,619.0,5.0,9
01,25,89,1010.0,680.0,4.0,9
01,25,90,996.0,717.0,4.0,9
01,25,91,947.0,692.0,5.0,9
01,25,92,969.0,836.0,7.0,9
01,25,93,817.0,985.0,4.0,9
01,25,94,563.0,1131.0,4.0,9
01,25,95,624.0,1078.0,4.0,9
01,25,96,600.0,1137.0,3.0,9
01,25,97,532.0,1172.0,4.0,9
01,25,98,538.0,1146.0,3.0,9
01,25,100,630.0,1126.0,4.0,9
01,25,101,796.0,1001.0,3.0,9
01,25,102,749.0,1030.0,4.0,9
01,25,103,742.0,1002.0,5.0,9
01,25,104,722.0,1051.0,3.0,9
01,25,105,679.0,1112.0,4.0,9
01,25,106,649.0,1097.0,2.0,9
01,25,107,652.0,1070.0,4.0,9
01,25,108,760.0,1062.0,3.0,9
01,25,109,603.0,1115.0,6.0,9
01,25,110,668.0,1040.0,4.0,9
01,25,111,674.0,1085.0,4.0,9
01,25,112,654.0,1125.0,6.0,9
01,25,113,515.0,1202.0,5.0,9
01,25,114,580.0,1160.0,4.0,9
01,25,115,556.0,1167.0,6.0,9
01,25,116,696.0,1058.0,4.0,9
01,25,117,708.0,1027.0,4.0,9
01,25,118,773.0,1009.0,5.0,9
01,25,120,804.0,1033.0,4.0,9
01,25,121,702.0,1096.0,5.0,9
01,25,122,728.0,1079.0,3.0,9
01,25,123,778.0,1037.0,6.0,9
01,25,124,356.0,1606.0,2.0,9
01,25,125,331.0,1595.0,3.0,9
01,25,126,903.0,983.0,4.0,9
01,25,127,872.0,983.0,3.0,9
01,25,128,422.0,1643.0,4.0,9
01,25,129,401.0,1670.0,4.0,9
01,25,130,916.0,888.0,4.0,9
01,25,131,933.0,862.0,4.0,9
01,25,132,629.0,1172.0,4.0,9
01,25,133,603.0,1166.0,3.0,9
01,25,134,840.0,1013.0,4.0,9
01,25,135,821.0,1012.0,4.0,9
01,25,136,364.0,1568.0,4.0,9
01,25,137,351.0,1571.0,4.0,9
01,40,1,298.0,1394.0,6.0,9
01,40,3,333.0,1406.0,7.0,9
01,40,6,339.0,1462.0,6.0,9
01,40,7,366.0,1517.0,4.0,9
01,40,8,465.0,1185.0,7.0,9
01,40,9,464.0,1151.0,6.0,9
01,40,10,414.0,1184.0,6.0,9
01,40,11,438.0,1202.0,6.0,9
01,40,13,416.0,1279.0,6.0,9
01,40,16,335.0,1295.0,6.0,9
01,40,17,354.0,1265.0,9.0,9
01,40,18,386.0,1261.0,7.0,9
01,40,19,355.0,1305.0,8.0,9
01,40,21,312.0,1365.0,7.0,9
01,40,22,310.0,1445.0,8.0,9
01,40,23,392.0,1209.0,7.0,9
01,40,24,418.0,1224.0,6.0,9
01,40,25,488.0,1176.0,6.0,9
01,40,26,436.0,1172.0,4.0,9
01,40,27,447.0,1232.0,7.0,9
01,40,28,386.0,1294.0,8.0,9
01,40,29,406.0,1249.0,7.0,9
01,40,30,378.0,1327.0,7.0,9
01,40,32,319.0,1566.0,6.0,9
01,40,33,315.0,1535.0,7.0,9
01,40,35,349.0,1645.0,4.0,9
01,40,36,305.0,1603.0,4.0,9
01,40,37,330.0,1633.0,5.0,9
01,40,39,412.0,1757.0,3.0,9
01,40,40,393.0,1718.0,4.0,9
01,40,42,417.0,1815.0,4.0,9
01,40,43,449.0,1872.0,4.0,9
01,40,44,407.0,1879.0,4.0,9
01,40,45,422.0,1903.0,4.0,9
01,40,46,394.0,1682.0,4.0,9
